ID	adj.P.Val	P.Value	logFC	GeneSymbol
A_24_P119609	0.2263	4.66E-04	7.78E-01	MYO1D
A_33_P3844650	0.2278	4.76E-04	1.02	ANGPTL2
CUST_21793_PI429545376	0.2278	4.77E-04	-6.78E-01	
CUST_30633_PI429545376	0.2278	4.83E-04	-1.54	
A_23_P501754	0.2278	4.83E-04	9.36E-01	CSF3
A_23_P306941	0.2284	4.94E-04	1.21	
A_23_P399255	0.2284	4.94E-04	-1.3	RNF182
CUST_28447_PI429545406	0.2284	4.95E-04	6.92E-01	
CUST_24248_PI429545376	0.2303	5.04E-04	-1.24	
CUST_20978_PI429545402	0.2303	5.11E-04	1.25	
A_19_P00810465	0.2303	5.12E-04	-1.24	KCNA6
CUST_380_PI429545395	0.2303	5.13E-04	1.73	
CUST_28623_PI429545384	0.2309	5.24E-04	-8.94E-01	
CUST_11798_PI429545406	0.2309	5.24E-04	5.56E-01	
A_23_P55270	0.2309	5.25E-04	4.38	CCL18
A_33_P3891747	0.2309	5.29E-04	-2.23	LOC284072
A_33_P3215768	0.2373	5.47E-04	1.27	GALNT6
A_23_P217507	0.2483	5.76E-04	-6.24E-01	
A_32_P874898	0.2483	5.85E-04	6.66E-01	
A_23_P43197	0.2483	5.88E-04	-1.49	
A_23_P42045	0.2483	5.90E-04	-7.16E-01	ORC3
A_33_P3394471	0.2483	5.91E-04	9.62E-01	
CUST_12406_PI429545395	0.2494	6.05E-04	-1.59	
A_24_P636882	0.2494	6.07E-04	1.05	STK17B
CUST_38674_PI429545402	0.2494	6.09E-04	-1.08	
A_23_P405815	0.2494	6.10E-04	-1.04	PYGM
CUST_39807_PI429545384	0.2494	6.15E-04	-1.28	
CUST_36543_PI429545376	0.2494	6.21E-04	-1.64	
CUST_20697_PI429545384	0.2494	6.26E-04	-1.04	
CUST_37452_PI429545380	0.2494	6.27E-04	-7.10E-01	
A_24_P355057	0.2494	6.31E-04	1.05	
CUST_42855_PI429545380	0.2494	6.32E-04	-1.28	
CUST_43725_PI429545376	0.2522	6.43E-04	1.05	
CUST_44340_PI429545384	0.2544	6.57E-04	-9.28E-01	
A_33_P3377090	0.2544	6.58E-04	-6.50E-01	
CUST_3813_PI429545384	0.2544	6.60E-04	9.60E-01	
A_23_P94301	0.2594	6.78E-04	5.08E-01	TSTA3
A_33_P3226212	0.2594	6.81E-04	-8.94E-01	JAM2
CUST_2434_PI429545395	0.2607	6.92E-04	8.36E-01	
A_33_P3212022	0.2607	6.97E-04	-9.42E-01	RGS6
CUST_26982_PI429545410	0.2607	6.99E-04	-1.07	
A_23_P157914	0.2607	7.00E-04	8.04E-01	
CUST_18497_PI429545399	0.2638	7.14E-04	1.35	
CUST_22561_PI429545395	0.2638	7.17E-04	-1.32	
A_33_P3378790	0.2658	7.26E-04	-1.26	
