ID	adj.P.Val	P.Value	logFC	GeneSymbol
A_23_P319492	0.778	4.03E-01	1.12E-01	FAM118B
CUST_26327_PI429545395	0.778	4.03E-01	-9.60E-02	
A_32_P34876	0.778	4.03E-01	-9.40E-02	WDR93
A_24_P217365	0.778	4.03E-01	1.26E-01	
A_33_P3394710	0.778	4.03E-01	1.04E-01	SLC35A1
CUST_27741_PI429545380	0.778	4.03E-01	2.36E-01	
CUST_39045_PI429545406	0.778	4.03E-01	1.08E-01	
CUST_110_PI429545376	0.778	4.03E-01	1.24E-01	
CUST_34595_PI429545406	0.778	4.03E-01	1.26E-01	
A_33_P3377399	0.778	4.03E-01	1.22E-01	
CUST_27288_PI429545376	0.778	4.03E-01	2.20E-01	
CUST_1314_PI429545402	0.778	4.03E-01	-1.16E-01	
A_33_P3381478	0.778	4.03E-01	-1.12E-01	
CUST_20117_PI429545388	0.778	4.03E-01	2.02E-01	
CUST_42833_PI429545376	0.778	4.03E-01	2.10E-01	
CUST_41695_PI429545380	0.7781	4.03E-01	-2.16E-01	
CUST_28471_PI429545399	0.7781	4.03E-01	1.76E-01	
CUST_32939_PI429545399	0.7781	4.03E-01	-8.60E-02	
A_33_P3358069	0.7781	4.03E-01	-1.32E-01	IDH3B
CUST_10197_PI429545406	0.7781	4.03E-01	1.96E-01	
A_32_P160972	0.7781	4.03E-01	2.22E-01	C6orf115
A_23_P41664	0.7781	4.03E-01	1.54E-01	LRRC70
A_23_P79911	0.7781	4.03E-01	-1.20E-01	PSMF1
A_24_P187859	0.7781	4.03E-01	2.14E-01	MRPS27
A_33_P3381255	0.7782	4.03E-01	2.08E-01	CLEC2A
CUST_19127_PI429545399	0.7782	4.03E-01	-1.30E-01	
A_33_P3258846	0.7782	4.03E-01	-1.86E-01	
CUST_26229_PI429545406	0.7782	4.03E-01	-1.48E-01	
CUST_16684_PI429545402	0.7782	4.03E-01	1.72E-01	
A_33_P3270104	0.7783	4.03E-01	-2.06E-01	
A_33_P3235701	0.7783	4.03E-01	-1.74E-01	
CUST_44138_PI429545402	0.7783	4.03E-01	-2.48E-01	
CUST_26291_PI429545380	0.7783	4.04E-01	-4.26E-01	
CUST_32379_PI429545399	0.7783	4.04E-01	-2.36E-01	
CUST_3132_PI429545402	0.7783	4.04E-01	-4.06E-01	
CUST_2758_PI429545376	0.7783	4.04E-01	1.68E-01	
A_23_P67162	0.7783	4.04E-01	1.20E-01	
CUST_24348_PI429545388	0.7783	4.04E-01	1.90E-01	
A_23_P25525	0.7783	4.04E-01	-1.26E-01	GTF3A
CUST_43885_PI429545410	0.7783	4.04E-01	-1.58E-01	
CUST_20561_PI429545395	0.7783	4.04E-01	-2.30E-01	
CUST_36856_PI429545399	0.7783	4.04E-01	8.60E-02	
CUST_13578_PI429545388	0.7783	4.04E-01	1.34E-01	
CUST_41452_PI429545384	0.7783	4.04E-01	1.38E-01	
CUST_10802_PI429545376	0.7783	4.04E-01	-1.70E-01	
A_24_P93206	0.7783	4.04E-01	-1.20E-01	
CUST_10979_PI429545380	0.7783	4.04E-01	-1.18E-01	
CUST_36195_PI429545406	0.7783	4.04E-01	-2.10E-01	
A_23_P64121	0.7783	4.04E-01	2.80E-01	C11orf41
A_33_P3337549	0.7783	4.04E-01	3.30E-01	
CUST_20013_PI429545410	0.7783	4.04E-01	1.66E-01	
CUST_22397_PI429545399	0.7783	4.04E-01	7.80E-02	
A_33_P3509019	0.7783	4.04E-01	-1.84E-01	
CUST_21137_PI429545384	0.7783	4.04E-01	4.14E-01	
CUST_19704_PI429545402	0.7783	4.04E-01	1.44E-01	
A_33_P3235611	0.7784	4.04E-01	1.16E-01	SLC46A1
A_23_P155596	0.7784	4.04E-01	2.64E-01	
CUST_41014_PI429545402	0.7784	4.04E-01	-3.92E-01	
CUST_32039_PI429545399	0.7784	4.04E-01	-1.36E-01	
CUST_270_PI429545376	0.7784	4.04E-01	8.40E-02	
A_33_P3364190	0.7784	4.04E-01	9.60E-02	OR2AK2
A_24_P356453	0.7784	4.04E-01	-8.80E-02	
A_33_P3377261	0.7784	4.04E-01	1.12E-01	RNF7
CUST_33874_PI429545376	0.7785	4.04E-01	2.88E-01	
CUST_11639_PI429545380	0.7785	4.04E-01	-2.04E-01	
CUST_2600_PI429545406	0.7785	4.04E-01	-1.04E-01	
A_23_P386973	0.7785	4.04E-01	1.78E-01	TFAP2D
CUST_10054_PI429545402	0.7785	4.04E-01	-1.00E-01	
CUST_41059_PI429545395	0.7785	4.04E-01	-2.72E-01	
CUST_12428_PI429545376	0.7785	4.04E-01	-1.88E-01	
A_33_P3301509	0.7785	4.04E-01	7.60E-02	
A_33_P3353821	0.7785	4.04E-01	1.78E-01	
CUST_24661_PI429545380	0.7785	4.04E-01	-1.42E-01	
A_23_P208788	0.7785	4.04E-01	1.74E-01	C19orf33
CUST_37757_PI429545384	0.7785	4.04E-01	-1.76E-01	
A_24_P69379	0.7785	4.04E-01	-1.88E-01	CASD1
CUST_41874_PI429545399	0.7785	4.04E-01	-3.84E-01	
A_33_P3384775	0.7785	4.04E-01	1.28E-01	ZNF295
CUST_4301_PI429545406	0.7785	4.04E-01	-1.18E-01	
A_23_P20392	0.7785	4.04E-01	-1.40E-01	PSD3
CUST_1789_PI429545380	0.7785	4.04E-01	2.78E-01	
A_33_P3391721	0.7785	4.04E-01	-2.84E-01	
CUST_27843_PI429545410	0.7785	4.04E-01	1.96E-01	
A_32_P387648	0.7785	4.04E-01	1.64E-01	
CUST_45343_PI429545399	0.7785	4.04E-01	-3.24E-01	
A_23_P143817	0.7785	4.04E-01	-3.60E-01	MYLK
A_33_P3337242	0.7785	4.04E-01	-1.00E-01	DTNBP1
A_24_P351466	0.7785	4.04E-01	2.18E-01	KIAA1524
CUST_21521_PI429545406	0.7785	4.04E-01	1.62E-01	
A_23_P34510	0.7785	4.04E-01	9.80E-02	PHC2
CUST_36162_PI429545380	0.7785	4.04E-01	-1.76E-01	
A_24_P113572	0.7785	4.04E-01	-2.08E-01	PHF21B
A_33_P3268989	0.7785	4.04E-01	-4.10E-01	
A_33_P3386686	0.7785	4.04E-01	1.66E-01	LOC100132874
CUST_17072_PI429545410	0.7786	4.04E-01	-1.32E-01	
CUST_32739_PI429545399	0.7786	4.04E-01	1.38E-01	
CUST_44625_PI429545410	0.7786	4.04E-01	1.20E-01	
CUST_29947_PI429545402	0.7786	4.04E-01	3.00E-01	
CUST_23031_PI429545395	0.7786	4.04E-01	-1.32E-01	
CUST_28848_PI429545395	0.7786	4.04E-01	4.16E-01	
CUST_1457_PI429545399	0.7786	4.04E-01	1.58E-01	
CUST_20697_PI429545399	0.7787	4.05E-01	1.24E-01	
CUST_23501_PI429545380	0.7787	4.05E-01	-1.04E-01	
CUST_42264_PI429545399	0.7787	4.05E-01	2.50E-01	
CUST_18337_PI429545384	0.7787	4.05E-01	1.42E-01	
CUST_41150_PI429545406	0.7787	4.05E-01	-8.80E-02	
CUST_13198_PI429545388	0.7787	4.05E-01	1.48E-01	
CUST_140_PI429545376	0.7787	4.05E-01	-4.08E-01	
A_23_P22614	0.7787	4.05E-01	1.10E-01	
A_33_P3329750	0.7787	4.05E-01	-2.64E-01	
CUST_2700_PI429545410	0.7787	4.05E-01	2.14E-01	
CUST_21961_PI429545395	0.7787	4.05E-01	1.50E-01	
A_23_P157569	0.7787	4.05E-01	-1.80E-01	
CUST_12568_PI429545388	0.7787	4.05E-01	9.20E-02	
A_33_P3326099	0.7787	4.05E-01	9.20E-02	FUBP3
CUST_37345_PI429545402	0.7787	4.05E-01	-2.20E-01	
A_33_P3283669	0.7787	4.05E-01	1.12E-01	ATP1A3
A_23_P215675	0.7787	4.05E-01	-1.68E-01	C7orf44
A_32_P101699	0.7787	4.05E-01	-1.68E-01	LOC729887
A_33_P3390743	0.7787	4.05E-01	9.00E-02	COL20A1
CUST_1920_PI429545388	0.7787	4.05E-01	-1.66E-01	
CUST_27193_PI429545388	0.7787	4.05E-01	-1.48E-01	
A_23_P254179	0.7787	4.05E-01	-1.30E-01	ADNP
A_33_P3234667	0.7787	4.05E-01	9.80E-02	
A_33_P3322115	0.7787	4.05E-01	1.38E-01	
A_23_P33809	0.7787	4.05E-01	1.28E-01	IMP3
A_33_P3258607	0.7787	4.05E-01	7.60E-02	LOC100506422
CUST_32206_PI429545402	0.7787	4.05E-01	1.02E-01	
CUST_13933_PI429545410	0.7787	4.05E-01	-1.10E-01	
A_24_P83787	0.7787	4.05E-01	1.20E-01	DISC1
CUST_15723_PI429545406	0.7787	4.05E-01	-1.18E-01	
CUST_10586_PI429545384	0.7787	4.05E-01	-3.20E-01	
CUST_21733_PI429545376	0.7787	4.05E-01	2.40E-01	
A_24_P313180	0.7787	4.05E-01	-2.18E-01	C14orf1
CUST_29695_PI429545384	0.7787	4.05E-01	-2.88E-01	
A_23_P407654	0.7788	4.05E-01	2.34E-01	C7orf51
CUST_31701_PI429545388	0.7789	4.05E-01	-1.40E-01	
CUST_16184_PI429545395	0.7789	4.05E-01	-1.82E-01	
CUST_24220_PI429545402	0.7789	4.05E-01	-1.48E-01	
CUST_37676_PI429545399	0.779	4.05E-01	-2.64E-01	
A_33_P3214914	0.7791	4.05E-01	1.64E-01	MUC22
A_33_P3372426	0.7791	4.05E-01	-1.56E-01	
A_24_P787889	0.7791	4.05E-01	1.02E-01	TMEM191B
A_23_P388681	0.7791	4.05E-01	1.14E-01	ELAVL1
CUST_40554_PI429545402	0.7791	4.05E-01	-1.12E-01	
CUST_40139_PI429545376	0.7791	4.05E-01	-3.22E-01	
CUST_32061_PI429545388	0.7791	4.05E-01	1.84E-01	
A_33_P3303325	0.7791	4.05E-01	-1.80E-01	
A_33_P3413667	0.7791	4.05E-01	3.08E-01	ABL2
A_33_P3231432	0.7791	4.05E-01	-1.54E-01	LDHB
A_33_P3383696	0.7791	4.05E-01	-1.84E-01	SPEG
CUST_11124_PI429545388	0.7791	4.05E-01	-1.46E-01	
CUST_33197_PI429545399	0.7791	4.05E-01	-1.58E-01	
A_33_P3305418	0.7791	4.05E-01	-9.60E-02	
A_19_P00318107	0.7791	4.05E-01	1.74E-01	human
A_33_P3228603	0.7791	4.05E-01	1.08E-01	
A_24_P35169	0.7791	4.05E-01	-1.44E-01	GATAD1
CUST_10768_PI429545406	0.7791	4.05E-01	1.22E-01	
CUST_1150_PI429545410	0.7791	4.05E-01	1.52E-01	
A_33_P3319150	0.7791	4.05E-01	1.26E-01	
CUST_21441_PI429545395	0.7791	4.05E-01	1.12E-01	
A_33_P3231162	0.7791	4.05E-01	-1.08E-01	ZNF776
CUST_24573_PI429545410	0.7791	4.05E-01	-1.62E-01	
CUST_34986_PI429545402	0.7791	4.06E-01	-1.82E-01	
A_23_P116890	0.7791	4.06E-01	1.68E-01	PRB3
CUST_41287_PI429545399	0.7791	4.06E-01	1.26E-01	
A_23_P326760	0.7791	4.06E-01	-1.30E-01	MYRIP
CUST_36022_PI429545380	0.7791	4.06E-01	-1.18E-01	
CUST_27268_PI429545376	0.7791	4.06E-01	1.62E-01	
A_23_P202894	0.7791	4.06E-01	-1.44E-01	
A_33_P3270384	0.7791	4.06E-01	1.44E-01	
A_24_P329229	0.7791	4.06E-01	1.30E-01	KCTD7
A_24_P90878	0.7791	4.06E-01	1.20E-01	THUMPD1
A_24_P215407	0.7791	4.06E-01	-1.82E-01	DDX6
CUST_22737_PI429545384	0.7791	4.06E-01	-1.28E-01	
A_33_P3269728	0.7791	4.06E-01	1.12E-01	
A_23_P95790	0.7791	4.06E-01	7.94E-01	
A_33_P3302305	0.7791	4.06E-01	-1.40E-01	BCKDHA
A_24_P876408	0.7791	4.06E-01	-1.66E-01	C11orf95
A_33_P3474319	0.7791	4.06E-01	1.74E-01	
A_33_P3379166	0.7791	4.06E-01	-2.86E-01	LOC100128869
CUST_29641_PI429545380	0.7791	4.06E-01	-1.34E-01	
CUST_32236_PI429545402	0.7791	4.06E-01	-1.08E-01	
A_33_P3327333	0.7791	4.06E-01	1.08E-01	IRF3
CUST_34504_PI429545376	0.7791	4.06E-01	7.60E-02	
A_23_P144684	0.7791	4.06E-01	-1.36E-01	ANKRD32
A_23_P109964	0.7791	4.06E-01	-2.04E-01	
A_23_P144778	0.7791	4.06E-01	-2.30E-01	CKMT2
CUST_22567_PI429545399	0.7793	4.06E-01	1.96E-01	
A_33_P3343873	0.7793	4.06E-01	2.00E-01	SIRPG
A_33_P3327491	0.7793	4.06E-01	-1.88E-01	
CUST_13872_PI429545376	0.7793	4.06E-01	-3.38E-01	
A_24_P237583	0.7793	4.06E-01	1.26E-01	
CUST_26073_PI429545410	0.7794	4.06E-01	1.84E-01	
CUST_2924_PI429545384	0.7794	4.06E-01	-2.00E-01	
A_24_P402855	0.7794	4.06E-01	2.60E-01	PROL1
A_24_P279870	0.7794	4.06E-01	3.24E-01	PDYN
A_33_P3419165	0.7794	4.06E-01	9.60E-02	TFPT
A_23_P92562	0.7794	4.06E-01	2.04E-01	ADH7
A_23_P76102	0.7795	4.06E-01	-1.34E-01	GDF11
CUST_24411_PI429545395	0.7795	4.06E-01	-1.04E-01	
CUST_42973_PI429545410	0.7795	4.06E-01	-9.80E-02	
CUST_23311_PI429545380	0.7795	4.06E-01	-1.52E-01	
A_23_P162378	0.7795	4.06E-01	-2.22E-01	
A_24_P49183	0.7795	4.06E-01	-1.24E-01	EXD3
A_33_P3393996	0.7795	4.06E-01	-2.76E-01	
A_33_P3392677	0.7795	4.06E-01	-1.46E-01	
A_24_P292470	0.7795	4.06E-01	-9.40E-02	UCP3
A_33_P3258824	0.7795	4.06E-01	1.42E-01	
CUST_26625_PI429545399	0.7796	4.06E-01	2.24E-01	
CUST_34186_PI429545402	0.7796	4.06E-01	-1.00E-01	
CUST_19587_PI429545384	0.7796	4.06E-01	4.72E-01	
A_23_P157809	0.7796	4.06E-01	-3.18E-01	PTGR1
CUST_29633_PI429545384	0.7796	4.06E-01	-3.36E-01	
CUST_3112_PI429545402	0.7796	4.06E-01	-1.88E-01	
CUST_28490_PI429545395	0.7796	4.06E-01	-1.60E-01	
A_33_P3249489	0.7796	4.06E-01	1.44E-01	
A_33_P3229572	0.7796	4.06E-01	1.88E-01	RASA4
CUST_22723_PI429545410	0.7796	4.06E-01	2.46E-01	
CUST_1013_PI429545399	0.7797	4.06E-01	-8.40E-02	
CUST_33514_PI429545384	0.7797	4.06E-01	-2.48E-01	
A_23_P24485	0.7797	4.07E-01	1.16E-01	
A_23_P57807	0.7797	4.07E-01	-1.44E-01	MKRN2
A_33_P3324692	0.7797	4.07E-01	-1.00E-01	ALG1L2
A_23_P167061	0.7797	4.07E-01	2.02E-01	PPEF2
A_33_P3394352	0.7797	4.07E-01	1.90E-01	
A_23_P75255	0.7797	4.07E-01	-1.56E-01	
CUST_2830_PI429545410	0.7797	4.07E-01	9.00E-02	
A_24_P370472	0.7797	4.07E-01	4.34E-01	HLA-DRB4
CUST_12597_PI429545395	0.7797	4.07E-01	2.56E-01	
A_24_P128145	0.7797	4.07E-01	1.14E-01	ATF2
CUST_29975_PI429545384	0.7797	4.07E-01	1.90E-01	
CUST_29151_PI429545380	0.7797	4.07E-01	-1.70E-01	
A_33_P3406196	0.7797	4.07E-01	-2.58E-01	
CUST_13261_PI429545399	0.7797	4.07E-01	1.34E-01	
CUST_3500_PI429545410	0.7797	4.07E-01	-1.74E-01	
A_23_P101905	0.7797	4.07E-01	1.90E-01	APC2
A_23_P257043	0.7797	4.07E-01	3.78E-01	GEM
A_24_P238786	0.7797	4.07E-01	-1.78E-01	
A_21_P0012568	0.7797	4.07E-01	-9.60E-02	UNC93B1
CUST_26313_PI429545388	0.7797	4.07E-01	-1.16E-01	
A_23_P164966	0.7797	4.07E-01	1.24E-01	
CUST_21027_PI429545384	0.7797	4.07E-01	-4.52E-01	
A_33_P3239884	0.7797	4.07E-01	-8.00E-02	
A_23_P371885	0.7797	4.07E-01	-1.56E-01	
CUST_2443_PI429545399	0.7797	4.07E-01	1.08E-01	
A_33_P3283744	0.7797	4.07E-01	-1.94E-01	FAM201B
A_23_P114282	0.7797	4.07E-01	-1.06E-01	MCTS1
A_24_P211797	0.7797	4.07E-01	-1.88E-01	ICA1L
CUST_19657_PI429545388	0.7797	4.07E-01	-1.32E-01	
A_24_P67748	0.7797	4.07E-01	-1.32E-01	
A_23_P200143	0.7797	4.07E-01	-9.60E-02	DCAF8
A_33_P3335511	0.7797	4.07E-01	-1.86E-01	FCRL5
A_23_P117797	0.7797	4.07E-01	1.38E-01	
CUST_35967_PI429545384	0.7797	4.07E-01	1.86E-01	
CUST_25783_PI429545410	0.7797	4.07E-01	-1.80E-01	
A_32_P114896	0.7797	4.07E-01	1.44E-01	PTGES3
A_33_P3405936	0.7797	4.07E-01	-1.54E-01	
A_24_P400507	0.7797	4.07E-01	2.50E-01	C3orf64
A_24_P273666	0.7797	4.07E-01	-1.60E-01	
CUST_2902_PI429545402	0.7797	4.07E-01	1.06E-01	
CUST_45216_PI429545376	0.7797	4.07E-01	-2.66E-01	
A_33_P3392927	0.7797	4.07E-01	-3.58E-01	
CUST_15568_PI429545388	0.7797	4.07E-01	-2.30E-01	
A_33_P3406816	0.7797	4.07E-01	2.94E-01	LOC728316
A_23_P31085	0.7797	4.07E-01	-1.08E-01	CCDC28A
CUST_23611_PI429545380	0.7797	4.07E-01	2.08E-01	
A_33_P3269388	0.7797	4.07E-01	-1.70E-01	MBOAT7
A_23_P27822	0.7797	4.07E-01	1.16E-01	GPATCH1
A_23_P64898	0.7797	4.07E-01	1.06E-01	KLRG1
CUST_23751_PI429545380	0.7797	4.07E-01	3.56E-01	
A_33_P3326483	0.7798	4.07E-01	1.38E-01	
CUST_38795_PI429545406	0.7798	4.07E-01	-1.24E-01	
A_23_P79931	0.7798	4.07E-01	8.80E-02	ATRN
A_33_P3264577	0.7798	4.07E-01	1.16E-01	DCTN1
A_23_P502081	0.7798	4.07E-01	-3.92E-01	MAGEC3
A_23_P74229	0.7798	4.07E-01	-1.40E-01	STK40
A_33_P3279381	0.7798	4.07E-01	1.92E-01	
CUST_37295_PI429545376	0.7798	4.07E-01	-4.36E-01	
CUST_15923_PI429545376	0.7798	4.07E-01	2.44E-01	
CUST_41265_PI429545376	0.7798	4.07E-01	1.66E-01	
A_23_P38011	0.7799	4.07E-01	8.80E-02	DHX38
CUST_12750_PI429545384	0.7799	4.07E-01	-5.38E-01	
CUST_23838_PI429545402	0.7799	4.07E-01	-1.08E-01	
A_24_P211842	0.7799	4.07E-01	1.44E-01	
A_23_P202071	0.7799	4.07E-01	-1.42E-01	CELF2
CUST_3133_PI429545384	0.7799	4.07E-01	-3.46E-01	
CUST_41883_PI429545410	0.7799	4.07E-01	-2.04E-01	
CUST_34717_PI429545399	0.7799	4.07E-01	4.58E-01	
A_33_P3230073	0.7799	4.07E-01	1.40E-01	
CUST_34901_PI429545395	0.7801	4.08E-01	2.00E-01	
A_33_P3228959	0.7801	4.08E-01	-9.20E-02	MRPL11
CUST_41167_PI429545399	0.7801	4.08E-01	-2.72E-01	
A_23_P134139	0.7801	4.08E-01	2.92E-01	FABP7
CUST_39619_PI429545395	0.7801	4.08E-01	2.50E-01	
A_33_P3356863	0.7801	4.08E-01	1.14E-01	
CUST_38279_PI429545376	0.7802	4.08E-01	2.80E-01	
CUST_39256_PI429545399	0.7802	4.08E-01	-1.16E-01	
CUST_14567_PI429545399	0.7802	4.08E-01	-2.28E-01	
CUST_44426_PI429545376	0.7802	4.08E-01	2.94E-01	
CUST_23711_PI429545399	0.7802	4.08E-01	3.44E-01	
A_33_P3240763	0.7802	4.08E-01	-1.30E-01	
A_33_P3330463	0.7802	4.08E-01	3.00E-01	FAM170B
A_33_P3297285	0.7802	4.08E-01	-9.40E-02	LOC100131667
CUST_32963_PI429545410	0.7802	4.08E-01	2.10E-01	
CUST_2154_PI429545395	0.7802	4.08E-01	-1.34E-01	
CUST_27933_PI429545402	0.7802	4.08E-01	2.28E-01	
CUST_2417_PI429545388	0.7802	4.08E-01	8.40E-02	
CUST_29711_PI429545380	0.7802	4.08E-01	-1.28E-01	
A_21_P0011386	0.7802	4.08E-01	-1.06E-01	LOC100505679
CUST_23773_PI429545410	0.7802	4.08E-01	3.10E-01	
CUST_3684_PI429545399	0.7802	4.08E-01	-9.34E-01	
A_33_P3230048	0.7802	4.08E-01	-1.58E-01	LOC647020
A_33_P3388564	0.7802	4.08E-01	-1.14E-01	CYB5D1
CUST_11019_PI429545380	0.7802	4.08E-01	-1.38E-01	
CUST_33356_PI429545402	0.7802	4.08E-01	-1.04E-01	
CUST_19577_PI429545399	0.7803	4.08E-01	2.88E-01	
CUST_32861_PI429545380	0.7804	4.08E-01	1.58E-01	
CUST_36985_PI429545406	0.7804	4.08E-01	-3.70E-01	
A_33_P3263664	0.7804	4.08E-01	-1.08E-01	KRTAP6-2
A_33_P3282614	0.7804	4.08E-01	1.44E-01	C9orf173
CUST_45222_PI429545395	0.7804	4.08E-01	1.06E-01	
CUST_37649_PI429545376	0.7804	4.08E-01	1.94E-01	
CUST_1270_PI429545406	0.7804	4.08E-01	2.46E-01	
CUST_37245_PI429545402	0.7804	4.08E-01	1.52E-01	
A_33_P3359285	0.7804	4.08E-01	-2.64E-01	
A_23_P215634	0.7804	4.08E-01	2.42E-01	IGFBP3
A_23_P11353	0.7804	4.08E-01	1.40E-01	
A_23_P18913	0.7804	4.08E-01	-2.44E-01	OR2V2
CUST_13827_PI429545395	0.7804	4.08E-01	1.62E-01	
CUST_42794_PI429545402	0.7804	4.08E-01	1.54E-01	
CUST_3878_PI429545384	0.7804	4.08E-01	1.40E-01	
A_33_P3398386	0.7804	4.08E-01	1.66E-01	ECM2
CUST_13590_PI429545402	0.7804	4.08E-01	-4.96E-01	
A_24_P101304	0.7804	4.08E-01	-1.44E-01	
A_24_P218970	0.7804	4.08E-01	1.08E-01	
CUST_37387_PI429545388	0.7804	4.08E-01	3.76E-01	
A_33_P3380211	0.7804	4.08E-01	1.70E-01	AKAP9
A_24_P246777	0.7805	4.08E-01	3.86E-01	
CUST_12599_PI429545380	0.7805	4.08E-01	-2.28E-01	
CUST_24028_PI429545376	0.7805	4.08E-01	-1.32E-01	
A_33_P3259022	0.7805	4.08E-01	-1.78E-01	SLC6A2
CUST_28823_PI429545410	0.7805	4.08E-01	2.10E-01	
CUST_37021_PI429545395	0.7805	4.08E-01	-2.28E-01	
CUST_27716_PI429545395	0.7805	4.08E-01	2.66E-01	
CUST_14341_PI429545376	0.7805	4.08E-01	7.40E-02	
A_23_P254842	0.7805	4.08E-01	1.02E-01	HDHD1
A_33_P3386195	0.7805	4.08E-01	1.92E-01	
A_23_P7172	0.7805	4.08E-01	1.60E-01	PGM2
A_33_P3366321	0.7805	4.08E-01	7.80E-02	
A_24_P297526	0.7805	4.08E-01	-3.78E-01	C2orf50
A_24_P370670	0.7805	4.08E-01	1.34E-01	ZMYM6NB
A_33_P3356587	0.7805	4.09E-01	-1.20E-01	LOC100134040
A_23_P350574	0.7806	4.09E-01	-9.20E-02	FCRLB
A_23_P252653	0.7806	4.09E-01	1.18E-01	STK25
A_33_P3269278	0.7807	4.09E-01	-9.80E-02	ZNF461
CUST_13508_PI429545388	0.7808	4.09E-01	8.60E-02	
A_24_P134195	0.7808	4.09E-01	1.50E-01	MYADM
A_32_P123088	0.7808	4.09E-01	-1.14E-01	
A_23_P210835	0.7808	4.09E-01	-4.22E-01	MYT1
CUST_31931_PI429545395	0.7808	4.09E-01	-2.36E-01	
CUST_17954_PI429545402	0.7808	4.09E-01	-1.46E-01	
A_23_P160438	0.7808	4.09E-01	-1.48E-01	MYOG
A_23_P120953	0.7808	4.09E-01	1.02E-01	SERHL2
A_24_P322369	0.7809	4.09E-01	-1.14E-01	VPS4B
A_33_P3400374	0.7809	4.09E-01	-2.04E-01	PRIC285
A_23_P137046	0.7809	4.09E-01	1.32E-01	
CUST_27333_PI429545384	0.7809	4.09E-01	2.48E-01	
CUST_18236_PI429545406	0.7809	4.09E-01	-1.06E-01	
A_23_P317820	0.7809	4.09E-01	7.40E-02	PLAC1L
A_24_P416411	0.7809	4.09E-01	-1.18E-01	PEX12
A_33_P3419912	0.7809	4.09E-01	1.64E-01	
A_33_P3333985	0.7809	4.09E-01	9.40E-02	
CUST_32229_PI429545376	0.7811	4.09E-01	1.16E-01	
CUST_10971_PI429545395	0.7811	4.09E-01	2.08E-01	
A_33_P3214690	0.7811	4.09E-01	1.26E-01	NLGN1
A_23_P212756	0.7811	4.09E-01	1.50E-01	GRK4
A_33_P3395647	0.7811	4.09E-01	-1.26E-01	LRRC37BP1
CUST_40089_PI429545376	0.7811	4.09E-01	-3.38E-01	
A_23_P67864	0.7811	4.09E-01	-1.42E-01	ADCY3
A_33_P3322050	0.7811	4.09E-01	8.20E-02	DYRK1A
A_23_P140511	0.7811	4.09E-01	-9.80E-02	CLPX
A_23_P391607	0.7811	4.09E-01	-1.36E-01	
A_23_P383977	0.7811	4.09E-01	-1.34E-01	SNAPC5
A_24_P148235	0.7811	4.09E-01	-1.96E-01	
CUST_23418_PI429545376	0.7811	4.09E-01	7.20E-02	
CUST_39519_PI429545376	0.7811	4.09E-01	2.88E-01	
A_33_P3423859	0.7811	4.09E-01	1.58E-01	PPP1R3D
CUST_39275_PI429545406	0.7812	4.09E-01	1.48E-01	
CUST_10623_PI429545410	0.7813	4.09E-01	-1.18E-01	
A_33_P3417123	0.7813	4.09E-01	1.76E-01	
CUST_3739_PI429545388	0.7813	4.09E-01	1.62E-01	
A_23_P428382	0.7813	4.09E-01	9.00E-02	AFTPH
CUST_17384_PI429545402	0.7813	4.09E-01	1.56E-01	
A_33_P3232798	0.7813	4.09E-01	1.24E-01	
CUST_19013_PI429545410	0.7813	4.09E-01	2.62E-01	
CUST_43788_PI429545402	0.7813	4.09E-01	2.18E-01	
A_23_P212655	0.7813	4.09E-01	1.64E-01	KLHL6
CUST_23538_PI429545376	0.7813	4.09E-01	-3.02E-01	
A_23_P205098	0.7813	4.09E-01	-1.40E-01	
CUST_1243_PI429545384	0.7813	4.09E-01	1.30E-01	
A_23_P309739	0.7813	4.09E-01	-1.36E-01	ESR1
CUST_2844_PI429545395	0.7813	4.09E-01	-1.44E-01	
A_33_P3408683	0.7813	4.09E-01	2.16E-01	
CUST_30161_PI429545395	0.7813	4.10E-01	1.88E-01	
A_23_P162874	0.7813	4.10E-01	-1.98E-01	
CUST_15544_PI429545402	0.7813	4.10E-01	-2.12E-01	
A_33_P3227077	0.7813	4.10E-01	2.02E-01	
A_33_P3284029	0.7813	4.10E-01	-1.12E-01	CSE1L
A_23_P358917	0.7813	4.10E-01	-8.60E-02	CYP3A7
A_23_P56256	0.7813	4.10E-01	-1.50E-01	
CUST_37633_PI429545410	0.7814	4.10E-01	-3.06E-01	
A_33_P3361112	0.7815	4.10E-01	1.88E-01	ABCG8
A_24_P286465	0.7815	4.10E-01	-1.36E-01	PURB
CUST_26979_PI429545406	0.7815	4.10E-01	-6.46E-01	
A_33_P3354326	0.7815	4.10E-01	-1.78E-01	
A_23_P350808	0.7815	4.10E-01	1.76E-01	UNC80
A_23_P69497	0.7815	4.10E-01	1.72E-01	CLEC3B
CUST_22357_PI429545399	0.7815	4.10E-01	-1.20E-01	
A_33_P3244834	0.7815	4.10E-01	-1.40E-01	
A_24_P306594	0.7815	4.10E-01	1.20E-01	LOC100506310
CUST_10761_PI429545395	0.7815	4.10E-01	3.76E-01	
CUST_21131_PI429545395	0.7815	4.10E-01	-1.10E-01	
CUST_33657_PI429545399	0.7815	4.10E-01	1.80E-01	
A_33_P3210288	0.7815	4.10E-01	-1.34E-01	FUT6
CUST_36887_PI429545388	0.7815	4.10E-01	1.86E-01	
