name	Fold change	p-value	G2-1	G2-2	G2-3	G2-4	G2-5	G2-6	G2-7	G2-8	G2-9	G2-10	G3-1	G3-2	G3-3	G3-4	G3-5	G3-6	G3-7	G3-8	G3-9	G3-10
M161T297_2	0.727304083	0.215489986	5205.613986	49742.72252	29697.57605	31500.57888	42614.03403	25120.72741	47653.64068	42536.66729	61270.70658	37078.09572	17590.46204	46407.62562	29109.66597	70722.14802	58834.20254	43010.06118	71559.99658	119613.098	19552.53602	35656.12617
M329T366	1.352053569	0.174345678	4413.419314	28889.98323	19122.54352	27062.98613	38063.52586	18115.56532	24659.8045	8685.485511	20550.79815	30617.91178	10008.4933	14678.2678	25067.41355	12303.31691	11835.12914	20973.71757	30554.32876	17454.62647	3152.296931	16822.48323
M337T40	0.928554456	0.832238107	14931.49106	39332.23851	6222.937231	32922.21609	28439.2799	36883.29289	25390.22137	12688.55157	42474.7412	112742.3729	105418.4359	19476.69226	53389.28377	34706.42125	40242.76466	29499.85759	37283.02622	26210.40159	19703.17362	13183.2419
M355T234	1.474667696	0.154932704	10318.05714	4325.059453	2083.210866	8116.25154	2200.851034	6097.851129	3286.946502	3173.906478	7325.731259	10196.34017	3661.821046	1638.375413	2892.837182	2226.728019	3156.308704	3798.833104	6441.090679	9367.315798	2893.902699	2659.789408
M405T315	1.81460767	0.085458336	1681.085796	4106.510065	2325.893463	6219.740274	2298.293876	1563.173799	902.1189872	840.8160294	4026.015782	4971.581459	1116.004166	4453.166635	718.9874828	967.2539924	1374.44437	1285.501941	1481.588735	3457.738204	205.0980799	885.9384412
M515T437_2	0.90024121	0.66514735	442.421309	12051.01947	8532.686854	8139.97308	13092.46054	8452.680126	6245.820424	8486.384799	8885.103813	4789.096873	3387.548696	6884.295336	8143.718427	6833.685975	6172.784325	13979.3133	19668.14068	11408.87152	1969.779549	9436.805084
M197T382	1.161177253	0.30468878	3254.147457	21085.76332	23878.40853	30717.91216	17155.12879	19099.29096	23494.08162	17970.91436	27631.08092	17708.21028	13593.57653	19294.85787	14716.50354	19038.55551	19940.62269	21877.58291	14932.34936	22230.77227	10348.5556	17983.64693
M683T390	0.475006918	0.331478177	106.7470499	3955.11123	938.5304429	3083.601649	2619.665334	2525.222595	5241.532734	2642.474708	3633.964666	1654.040309	2952.90158	1842.178939	14297.49174	1026.643534	629.4618432	2071.62392	28796.90791	1383.513988	448.4126276	2130.876962
M195T382	0.877487513	0.690252166	10127.0265	47728.81308	43431.83444	33759.3135	80862.78002	66718.72477	34298.1812	35551.31067	52155.98634	56069.67778	30264.16693	45914.52137	80944.30524	48325.66433	19302.47747	167265.8424	19665.27998	32828.9691	10065.64205	70449.00495
M275T466	1.366686431	0.416562762	1459801.466	191874.0214	237628.706	223892.2496	368637.993	389827.8769	378306.8642	289135.8172	124962.9319	304369.553	279287.3031	417473.6456	189061.0951	541608.3459	281987.5857	259702.5951	298311.9566	158901.52	97593.45387	379765.2481
M293T347	1.679450084	0.072255801	48933.84557	80598.52472	27405.50606	63279.45288	75405.1921	40164.45983	41592.37264	17806.2492	34701.59097	86710.38452	12035.53939	34454.18473	11350.92073	14579.12215	32055.39622	38161.5821	71193.20372	75365.60361	842.0556024	17561.63705
M588T462	2.198249269	0.006478737	14128.93958	9716.752024	9061.034378	32108.86307	19246.18002	8809.862695	12591.19483	8213.732434	19337.08652	23064.85129	6430.110478	8312.830736	5024.854861	6207.045381	6379.779312	10657.02429	3768.679613	16596.21264	4841.680024	2874.037318
M351T450	0.901846225	0.63133173	522.9990629	1205.332405	1637.01198	3799.260204	2194.961319	568.9616534	1448.546652	2027.979051	2563.763816	1755.407356	1647.783736	2451.617956	1680.379814	2023.402266	3667.077907	1716.365803	2636.293372	1745.00025	900.4989129	1184.845699
M565T215_2	1.205972724	0.457100846	1613.175254	20088.62905	6345.877532	9290.645684	11557.1134	6281.064971	10250.77861	6429.57712	7738.728003	11492.19746	5821.560648	5301.260403	6889.950157	6418.094835	7871.431269	9823.029802	10728.92219	16558.15935	224.1931438	5893.951502
M593T463	0.919323418	0.531999075	3336.240341	3083.424847	2542.48884	2154.860518	3514.605446	3672.183625	4380.58895	3441.802915	2882.347159	2948.674747	3629.078409	4258.14652	2715.925302	3588.731243	5150.748697	5113.835632	3794.6619	3055.385347	1082.618776	2372.538273
M105T303	1.024735332	0.9515027	540.4420958	64826.82711	31373.58898	18497.63259	84024.81734	24881.34603	32624.71965	45407.0699	20472.21194	29307.66339	12325.33437	39823.9566	119415.4046	10560.34415	6348.328993	69353.2734	41970.23265	23510.72579	796.667769	19356.4363
M151T235	1.838669162	0.016364386	656.157119	44240.03092	40918.19111	46438.80295	40011.59089	37321.90067	43283.51968	27512.20568	42286.698	60105.97939	34984.95491	30811.23048	11721.58593	14552.21782	23141.41557	47614.82874	15322.88156	21315.59995	302.0075967	8413.783352
M171T382	1.472015795	0.028406162	22366.64007	122378.4215	112517.7951	147424.2437	93232.43673	94192.83279	115967.2697	86942.14062	131243.8193	92230.96194	53227.65702	71074.65936	54004.68403	82182.66329	65708.48224	107357.5203	70994.04819	106074.9034	14710.31825	66571.06452
M448T209	0.315771512	0.19339385	7251.545262	125669.8775	6720.328105	2877.955526	3074.05142	36878.69123	5555.656716	13191.05158	26074.81817	6990.556858	10496.2437	386103.5811	99420.95383	24609.83662	29297.97692	49340.23605	39644.74845	24421.05523	15188.40943	63420.17838
M930T184	1.659427521	0.218739108	3199.431752	6259.085402	16932.48565	3888.008475	7061.95231	1527.357342	8801.234137	25854.46224	7484.580573	5324.3898	1728.887734	8349.418138	9390.26599	4175.710027	1173.828388	10645.96314	2411.474151	2678.893061	135.4381552	11335.88709
M432T103	1.750474378	0.179335837	1986.440942	3619.38906	4953.369527	1061.661197	4972.923339	2347.243404	8730.769711	9919.477973	4355.454612	2971.110336	11356.51089	2664.496005	688.7806075	2744.811689	730.206866	1301.778857	1230.269137	567.5705227	531.2303904	3844.726402
M362T481	0.636145063	0.454983519	29453.38317	4315.965155	6011.514571	6486.485431	16657.48316	9336.730529	6417.342207	4006.660995	10713.81828	4892.988645	7533.525331	3085.188545	4402.328075	9479.565546	5662.283674	7003.3071	75093.14299	25653.1496	5525.967352	11074.05453
M269T45	0.827460989	0.203871376	163087.9722	257566.9214	220507.9171	124468.9602	237106.1512	138032.385	314337.6856	147695.3096	162443.4777	128194.3845	268647.7929	279341.5572	222289.5926	217935.8536	274563.8417	257360.6011	263291.2638	97656.18377	294601.026	112566.584
M178T102	1.490940513	0.240305527	10475.80175	30386.2072	35234.54157	15385.85627	8752.412662	14984.44669	34325.48009	85330.8288	20409.95445	38381.39267	38178.04322	11349.92252	34571.81526	31347.03773	15887.91493	22689.99122	16675.37457	10808.41938	6504.89546	8954.150499
M181T191	0.963165068	0.834379546	3478.139005	9697.833711	6655.574901	11321.87196	7224.304298	6107.085391	6165.100475	3850.107319	11104.01383	12680.31883	13286.21394	6988.596592	2966.779311	9874.265043	10495.1877	10803.81212	7893.728402	4437.402644	6388.829065	8143.41293
M116T254	3.606570081	0.005925136	478.8255451	6993.433783	3946.753051	18527.95904	7976.485323	7953.068967	3350.388689	3875.865373	10086.84012	15068.70642	1644.021583	3396.95815	854.1369631	1952.165775	1607.106339	2708.275649	2323.100915	5313.268693	121.7265149	1778.062555
M160T36	1.961672185	0.048947616	542.7298283	7827.010266	8314.188537	2547.713303	13343.30749	13321.49329	5107.260675	5573.023044	2882.286367	4656.155998	4326.070694	2929.233237	7631.832694	2792.106817	2000.316465	4519.077602	3160.631452	1929.433414	1358.021816	2037.212148
M267T215	1.308751411	0.163312692	2065502.441	18609765.12	19104257.27	21705164.83	20399647.89	16346723.71	23191220.28	13294112.96	26725057.12	21177088.96	17386140.48	18934717.38	8711276.48	16186181.82	19482126.15	23781637.44	11516186.55	10772318.59	1308893.321	11456983.08
M132T458	1.119638778	0.554174604	2719.739265	62426.93364	109026.9914	68219.01591	104291.3576	140201.1542	109986.6635	115557.9653	69361.99834	61593.6485	104618.4094	104261.9882	62985.06004	86555.12536	59899.03517	86797.83984	71265.38061	74679.20316	14500.54072	87703.09943
M279T348_1	1.335479334	0.247204412	36987.8497	166270.578	51873.94716	94006.5966	102348.4536	63909.97436	111898.5849	37445.89682	99231.52124	77242.3712	31547.92266	69938.83537	51688.04941	25792.30696	104417.0861	110146.8856	93666.07444	108133.6069	3578.498819	30988.74259
M220T348	0.821300285	0.44032758	1139.031171	23167.23134	29149.81263	26958.0254	27884.52299	22935.22907	27483.40503	13397.52271	72365.86675	17936.95565	25368.88542	36811.57357	23945.43855	47777.15901	46868.69827	44849.52044	32281.54126	22015.48891	3637.162562	35959.33977
