name	Fold change	p-value	G2-1	G2-2	G2-3	G2-4	G2-5	G2-6	G2-7	G2-8	G2-9	G2-10	G3-1	G3-2	G3-3	G3-4	G3-5	G3-6	G3-7	G3-8	G3-9	G3-10
M127T72	1.127794955	0.534547708	7992.634003	4692.971569	4961.834498	7075.87061	4983.279792	1123.912013	4869.169298	4396.130075	3379.432438	5410.369421	5378.183841	4060.873112	3229.091623	2653.182115	8749.730394	4083.822208	2702.905323	6449.761153	2001.977723	4036.653043
M147T317	1.080821217	0.842795518	2168.423292	1604.042902	1715.692277	1779.056034	5382.484168	735.2050417	986.1055724	1480.674726	1570.186105	2254.973865	7139.459555	1263.201355	721.2356988	1153.154858	1602.523618	2200.380741	911.8753887	1114.042292	676.8503529	1422.732956
M76T329	4.398074207	0.001620897	774.3385295	14793.54893	4899.286956	10890.60098	33181.7997	18116.96562	27360.54502	10664.4441	21676.96059	20184.03188	13475.99825	3794.879753	1523.448153	7707.663514	3593.94416	2039.748567	612.7031326	1430.24905	1972.859605	806.1637928
M327T39	0.13969563	0.29790158	83262.13911	84778.94174	58309.00348	31727.23917	68176.61664	55783.26626	31850.68978	94069.62853	24348.54066	20468.4296	110296.3555	66649.8726	65121.57337	50180.50642	138346.6722	29590.99836	75676.89559	43116.67487	127070.3618	3250942.112
M405T469	1.773852217	0.199511534	12403.84023	37837.72425	17852.95446	37344.63289	30415.28171	23428.68035	20686.83319	145696.8441	24883.59899	41703.04631	15113.3529	18754.99828	27991.05418	17813.01556	15148.82889	24753.4274	22480.84787	53982.01831	5904.455591	19188.84425
M383T291	1.776141116	0.05990797	5964.477713	2625.573241	2675.477273	8075.930325	2095.731844	2739.681467	1803.859846	1623.257968	3238.910188	4054.043053	1313.654153	1427.754948	940.0758251	1359.427152	3259.939254	1690.766138	5010.243028	2100.106998	1285.459877	1260.191048
M253T44_1	1.567803694	0.106710724	23892.54238	48708.72855	28780.64379	6932.98989	48279.16126	18021.84169	26961.84096	21539.42629	5571.864617	9832.004379	11125.96872	14156.64686	24441.11185	16119.73573	15519.47287	17518.48415	21680.03865	8389.970176	11105.25753	12080.37296
M296T103	1.501641667	0.082694371	7701.278503	17609.23356	13628.61909	10927.20367	14227.0496	1295.643486	7045.624653	5605.822506	11745.89107	13944.29809	8057.137727	6807.178155	5196.466255	5842.785501	9540.317251	7821.717786	14299.39351	2474.540204	2921.364265	6117.273277
M310T291	1.600647834	0.12268743	4219.628669	10428.68737	5478.73867	22516.53332	6144.123442	5161.740076	6386.783066	8910.290365	4498.383294	8097.817216	3311.163067	2549.581901	7134.842912	4346.525641	2409.816057	6885.047341	10597.44386	5222.147155	3069.754864	5604.677892
M295T265	0.737436008	0.227837339	2101.320904	1524.304228	986.7603744	1254.80636	1165.557937	1652.761878	1891.705072	1516.722699	986.3337985	3458.415406	1416.024213	1502.156853	1564.799784	1080.389085	1734.184412	1766.453602	2528.346242	5426.56372	3415.268185	1993.100442
M329T190	4.035619633	0.040294077	39824.70018	10405.25202	2866.775132	22367.02176	7100.520182	6954.559497	4239.740048	1266.765328	9259.446406	7248.897092	1882.664764	3548.83188	641.3243142	698.8241242	10663.80032	1106.5235	3619.609304	2169.717801	2804.488438	501.5272407
M247T377	7.129236144	0.259217256	175209.1572	4934.989776	2789.948577	5270.217508	4641.614662	4779.45861	3960.031312	8686.414569	14466.55889	5022.22866	531.5360329	3622.240552	1019.77353	1802.375205	3046.707789	4607.974908	3779.15862	5394.858485	3561.641571	4861.676824
M113T160_2	1.373897271	0.128535337	8314.365945	492844.7996	464517.104	316148.0036	603074.2534	236370.4772	421378.5156	322138.4851	330540.3785	323863.4511	321034.6978	312685.4647	161827.0226	311719.7598	232982.8656	423346.5005	277284.8746	185046.9165	65371.63407	270165.3074
M245T159	1.297350461	0.185114984	483.0465738	43449.54084	33865.06518	26196.77666	45778.20449	19541.71342	34070.28643	27134.06603	27816.89601	25672.77111	24861.2326	25391.1471	13785.33091	24206.93954	20264.79131	35879.70688	25865.10369	16835.94581	7467.404245	24356.5427
M189T39	1.590744457	0.069152933	12773.62279	52769.21984	31054.09993	12975.96437	60774.59066	38107.62591	55139.9582	32599.14024	18362.18838	26146.00997	41105.01204	21497.60396	22593.19292	11347.73289	15903.74558	18004.42888	41690.01804	11991.10521	14576.64388	15468.48762
M274T352_2	3.028838062	0.11116556	158745.946	33179.37358	15154.91281	23930.69362	38993.29669	22735.67096	20094.1001	11804.18163	11011.88596	22157.67405	5692.280898	15647.86582	6707.996186	3828.445569	12203.46422	9277.038315	23461.96983	34283.7762	2979.695714	4051.130399
M232T310	1.747147439	0.02148893	4376.325256	2551.630409	1813.068632	2221.397733	2181.564313	2706.893664	2003.772098	874.5817957	1955.28897	2511.920184	1161.206911	813.5324587	900.1476005	1121.422	646.6963817	1362.575078	3362.051421	2388.830498	756.4333709	763.856168
M233T404	1.587137992	0.199211667	5312.072689	19237.00578	14093.92914	14620.89781	26627.04607	21934.01139	20488.61451	4820.403138	20204.97572	19319.28206	44031.96858	4995.957222	3936.840208	4012.414856	18925.86067	9659.59957	3164.094409	10239.33185	2478.574009	3560.871172
M247T408	1.354335824	0.196733192	4827.832941	6738.238513	5192.650645	6374.656664	8707.825509	2937.833709	4259.307113	6084.11568	3857.419444	11862.49344	4955.895499	2944.464202	3816.385431	5963.082585	9932.431019	6822.875141	2650.436035	5297.939645	775.8413005	1764.790256
M255T313_2	2.367139285	0.000539101	20435.8398	27186.78788	9822.48771	16918.97528	28029.44022	12304.82474	15697.97676	8087.473651	17210.08204	16787.56716	8064.250227	8834.189372	3552.730357	3405.364779	12535.87504	8439.716748	11136.48304	9767.873565	1905.661303	5222.79273
M265T183	2.246704332	0.105416225	73858.8615	14948.01917	13485.94295	24432.97767	17572.23465	14334.9952	9463.649021	5094.869009	14109.83951	9612.131172	9583.719846	7784.884463	4750.847582	3410.286923	13578.26095	4616.879051	8413.48554	13309.31782	17315.52072	4882.295019
M281T218	2.230528339	0.009391786	18381.21864	24927.83354	10664.12492	15180.66821	25304.62785	7362.988492	11459.67064	3471.4938	12477.81746	10549.23715	4994.336823	7151.924399	4034.785888	2435.47558	12804.46087	3387.83526	15317.96876	4306.544212	6404.53188	1828.760321
M217T213	2.5791546	0.092218346	17252.56018	4842.399159	2659.509189	2044.324107	3891.332018	3336.239061	2596.374167	2018.627831	2484.532226	2215.228472	1843.409612	1749.322023	1211.554289	626.0374728	1819.313835	2201.957367	2199.765535	3642.608899	432.1973075	1078.226237
M153T219	0.534291909	0.116478255	228.1827755	1582.129502	1487.101194	4696.182666	5782.951289	8343.619816	1197.223065	27283.88023	13183.12434	15580.11686	7336.987609	4695.210045	25172.10125	18312.01469	2788.761231	9699.052636	26429.7112	30831.14018	6107.836798	17168.66581
